	s__Enterococcus faecalis	s__Cutibacterium acnes	s__Akkermansia muciniphila	s__COE1 sp000403215	s__Kineothrix sp000403275	s__Schaedlerella sp000403295	s__14-2 sp000403315	s__Anaerotruncus sp000403395	s__Dysosmobacter sp000403435	s__Staphylococcus xylosus	s__Staphylococcus aureus	s__Acutalibacter muris	s__Choladousia sp003612585	s__CAG-485 sp002493045	s__Clostridium_Q sp009911305	s__1XD42-69 sp009911505	s__CAG-95 sp009917455	s__Avispirillum sp011957885	s__Acetatifactor sp011959105	s__Merdisoma sp011959465	s__CAG-317 sp011960265
01mpimouseskin	12674.0	41961.0	3343024.0	43446.0	44452.0	604926.0	41961.0	39062.0	129582.0	155554.0	296.0	602453.0	19983.0	8943.0	21648.0	30971.0	86790.0	6231.0	53751.0	30887.0	19248.0
02mpimouseskin	6451.0	28729.0	2398838.0	26234.0	32623.0	371452.0	26210.0	23736.0	72612.0	85995.0	951.0	378132.0	14867.0	5978.0	13555.0	19939.0	54191.0	4327.0	21014.0	17717.0	10829.0
03mpimouseskin	1813.0	16691.0	610425.0	10643.0	16119.0	215451.0	10307.0	9701.0	26365.0	39035.0	124.0	133184.0	4457.0	1599.0	5977.0	8093.0	21935.0	1647.0	8976.0	7145.0	4026.0
06mpimouseskin	9737.0	27063.0	3487.0	486.0	89.0	825.0	1091.0	120.0	157.0	245.0	1304.0	649.0	73.0	3.0	110.0	117.0	556.0	1.0	302.0	54.0	36.0
07mpimouseskin	323.0	11660.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
08mpimouseskin	327.0	15696.0	591.0	114.0	0.0	131.0	0.0	0.0	51.0	15.0	107.0	55.0	0.0	0.0	0.0	6.0	520.0	0.0	1.0	26.0	0.0
01mpimousestool	349.0	4955.0	4594.0	11.0	41.0	234.0	5.0	17.0	93.0	5.0	1084.0	261.0	24.0	10.0	12.0	23.0	59.0	1.0	6.0	26.0	5.0
02mpimousestool	552823.0	6272.0	45.0	22.0	14.0	17.0	6.0	12.0	8.0	38.0	534.0	11.0	1.0	2.0	7.0	12.0	13.0	2.0	10.0	8.0	2.0
03mpimousestool	2440778.0	6050.0	17.0	0.0	3.0	0.0	2.0	1.0	0.0	36.0	610.0	2.0	7.0	0.0	0.0	3.0	4.0	0.0	8.0	0.0	6.0
04mpimousestool	267.0	2543.0	28106.0	7685.0	2721.0	10352.0	9260.0	3285.0	4502.0	8.0	671.0	3284.0	4453.0	427.0	8929.0	9764.0	6436.0	755.0	29253.0	3161.0	6820.0
01MPI2	496.0	753.0	95743.0	261983.0	39331.0	42330.0	265241.0	47642.0	131265.0	2801.0	3597.0	16188.0	46981.0	1632381.0	48417.0	91609.0	66953.0	5467.0	50372.0	39044.0	12944.0
02MPI2	832.0	1904.0	741877.0	256605.0	78611.0	63475.0	177109.0	151358.0	171122.0	89.0	2289.0	83461.0	101227.0	14902.0	127831.0	134180.0	149800.0	31364.0	89869.0	70239.0	29209.0
03MPI2	476.0	661.0	162836.0	55510.0	37320.0	143712.0	63266.0	79073.0	137897.0	97.0	2955.0	88457.0	37358.0	325930.0	42965.0	85510.0	78955.0	5351.0	14176.0	40709.0	15841.0
06MPI2	127.0	559.0	15001.0	210.0	129.0	335.0	357.0	83.0	124.0	33.0	6396.0	58.0	128.0	359.0	254.0	283.0	495.0	23.0	101.0	110.0	57.0
07MPI2	1039.0	3447.0	4094434.0	49559.0	46758.0	79071.0	54726.0	38711.0	75744.0	36.0	2799.0	133928.0	54010.0	533515.0	38997.0	53570.0	94867.0	19393.0	207712.0	35159.0	42295.0
13MPI2	0.0	143.0	260.0	137.0	22.0	37.0	48.0	24.0	46.0	7.0	2058.0	24.0	28.0	159.0	36.0	49.0	55.0	2.0	52.0	14.0	13.0
16MPI2	652.0	1032.0	559586.0	95776.0	64436.0	50227.0	108500.0	56888.0	140897.0	3674.0	6003.0	206094.0	52287.0	4796363.0	54755.0	105530.0	91972.0	7980.0	19775.0	52637.0	17070.0
17MPI2	635.0	2273.0	745358.0	244143.0	59061.0	72134.0	299643.0	58421.0	142525.0	1738.0	121685.0	338584.0	43496.0	6722.0	183252.0	73907.0	76468.0	12549.0	27575.0	138153.0	11079.0
18MPI2	671859.0	683.0	5007917.0	14155.0	101017.0	25207.0	23351.0	23940.0	314305.0	4018.0	9377.0	357288.0	44551.0	31448.0	23113.0	16673.0	30614.0	5551.0	37794.0	22849.0	11832.0
19MPI2	2000.0	4078.0	6611168.0	21162.0	66584.0	25966.0	26772.0	26536.0	175306.0	68.0	17887.0	132545.0	108249.0	85589.0	20547.0	21340.0	48396.0	5785.0	94052.0	19098.0	120059.0
21MPI2	182.0	724.0	7051.0	296.0	157.0	506.0	441.0	122.0	169.0	13862.0	2945202.0	285.0	246.0	647.0	593.0	471.0	410.0	9.0	110.0	108.0	81.0
22MPI2	317.0	1061.0	1792.0	320.0	89.0	102.0	189.0	143.0	230.0	20.0	5252.0	320.0	72.0	528.0	97.0	124.0	182.0	5.0	88.0	88.0	39.0
26MPI2	7186.0	6772.0	137523.0	607999.0	191021.0	340676.0	402285.0	562007.0	549251.0	11637.0	6325.0	828139.0	146064.0	9902.0	297612.0	390624.0	312907.0	20423.0	144459.0	176498.0	41179.0
27MPI2	4951.0	363.0	40004.0	835592.0	71606.0	83003.0	104160.0	112836.0	113491.0	1809.0	4552.0	91829.0	52016.0	2456.0	97225.0	99116.0	136104.0	9331.0	151655.0	47362.0	10912.0
