	g__Enterococcus	g__Cutibacterium	g__Akkermansia	g__COE1	g__Kineothrix	g__Schaedlerella	g__14-2	g__Anaerotruncus	g__Dysosmobacter	g__Staphylococcus	g__Acutalibacter	g__Choladousia	g__CAG-485	g__Clostridium_Q	g__1XD42-69	g__CAG-95	g__Avispirillum	g__Acetatifactor	g__Merdisoma	g__CAG-317
(1) DSS [skin]	0.0020733444367575142	0.006864415804858929	0.5468865561264677	0.007107347514546865	0.0072719194337024645	0.09896007233312104	0.006864415804858929	0.006390167302242546	0.021198368218708557	0.025495560238966278	0.0985555133310616	0.0032690265014774663	0.0014629887405651295	0.003541404479006365	0.005066557562791303	0.014198008810650519	0.0010193316384279685	0.13557339817619632	0.005052815971132188	0.0031487875744602048
(2) DSS [skin]	0.0015583333876853737	0.00693991007515317	0.5794743988603948	0.006337206338945604	0.007880562719959688	0.08972966261393697	0.006331408787976073	0.005733777908866847	0.017540490458318146	0.02100307777487095	0.09134331430045663	0.0035913412610011548	0.0014440733206608533	0.0032744084746667555	0.004816557032562186	0.013090628524578839	0.0010452501268818186	0.1319698942840737	0.004279800438633043	0.002615903310377447
(3) DSS [skin]	0.0013312088815789474	0.012255492246240602	0.4482091459116541	0.00781470277255639	0.011835496945488721	0.15819651668233084	0.007567992246240602	0.007123032189849624	0.019358699483082706	0.02875279017857143	0.09779135338345865	0.0032725857612781956	0.001174077772556391	0.004388657189849624	0.00594234609962406	0.01610593867481203	0.0012093221334586466	0.1594682507048872	0.0052462699718045114	0.0029561207706766917
(4) Vancomycin [skin]	0.20332435423583703	0.5651193384702123	0.07281421620831506	0.010148468333020109	0.001858464365511913	0.0172273382196329	0.022781849694084238	0.002505794650128422	0.003278414667251352	0.03234563260874105	0.013552172732777883	0.0015243584121614566	6.264486625321055e-05	0.002296978429284387	0.0024431497838752116	0.011610181878928354	2.0881622084403517e-05	0.035206414834304325	0.0011276075925577898	0.0007517383950385266
(5) Vancomycin [skin]	0.026892015652318708	0.9707767879443843	0.00166514028806927	0.0	0.0	0.0	0.0	0.0	0.0	0.000333028057613854	0.0	0.0	0.0	0.0	0.0	0.000333028057613854	0.0	0.0	0.0	0.0
(6) Vancomycin [skin]	0.018268156424581006	0.8768715083798883	0.033016759776536314	0.006368715083798882	0.0	0.007318435754189944	0.0	0.0	0.0028491620111731845	0.006815642458100559	0.003072625698324022	0.0	0.0	0.0	0.000335195530726257	0.02905027932960894	0.0	0.014581005586592179	0.001452513966480447	0.0
(7) Control [stool]	0.028833443489755452	0.4093688037012558	0.37954395241242567	0.0009087904824851289	0.003387309980171844	0.01933245208195638	0.00041308658294778586	0.0014044943820224719	0.007683410442828817	0.08997025776602775	0.021563119629874422	0.0019828155981493722	0.0008261731658955717	0.0009914077990746861	0.001900198281559815	0.004874421678783873	8.261731658955717e-05	0.024372108393919366	0.0021480502313284866	0.00041308658294778586
(8) Vancomycin [stool]	0.987399040505253	0.011202440531687261	8.037465304941434e-05	3.929427482415812e-05	2.5005447615373348e-05	3.0363757818667638e-05	1.0716620406588578e-05	2.1433240813177155e-05	1.4288827208784772e-05	0.0010216511454281111	1.964713741207906e-05	1.7861034010980965e-06	3.572206802196193e-06	1.2502723807686674e-05	2.1433240813177155e-05	2.3219344214275253e-05	3.572206802196193e-06	5.1796998631844796e-05	1.4288827208784772e-05	3.572206802196193e-06
(9) Vancomycin [stool]	0.9972380408394068	0.002471871733962864	6.9457552855154856e-06	0.0	1.225721520973321e-06	0.0	8.171476806488806e-07	4.085738403244403e-07	0.0	0.00026393870084958845	8.171476806488806e-07	2.860016882271082e-06	0.0	0.0	1.225721520973321e-06	1.6342953612977613e-06	0.0	7.762902966164366e-06	0.0	2.451443041946642e-06
(10) DSS [stool]	0.0013380976961666258	0.012744503525661907	0.14085608182943515	0.03851416028105063	0.013636568656439658	0.05188010243714199	0.046407433207876235	0.01646311210452197	0.022562231566075466	0.003402877661787037	0.016458100502663667	0.02231666307501867	0.002139953993494941	0.04474859299277828	0.048933280544460424	0.03225466956003147	0.0037837594030179864	0.43153901281466595	0.015841673474092523	0.03417912467361943
(11) IMQ [stool]	0.00016051686430305583	0.00024368790084717954	0.030984609151144104	0.08478364850949088	0.012728404818353809	0.013698949326508777	0.08583801129961055	0.015418033163560859	0.042480335066009324	0.002070538100425305	0.005238804434148927	0.015204118552060214	0.5282755634433197	0.015668840764034384	0.02964675286681178	0.02166751132194052	0.0017692453571467868	0.07729793159780947	0.012635525100501033	0.004188972361973296
(12) Control [stool]	0.00033248108414408897	0.0007608701733297421	0.29646642940091866	0.10254364014037735	0.03141426743467666	0.02536566925005535	0.07077571193710992	0.060485182612837765	0.06838320682801058	0.0009502884832868313	0.0333524083698916	0.040451998443093384	0.005955087879705786	0.05108340080195077	0.05362056715198781	0.059862579813442944	0.01253357779218174	0.04592155204727625	0.028068676525476764	0.011672403830246028
(13) DSS donor (7d wo DSS) [stool]	0.00028215500030823653	0.0003918160823608075	0.09652309166006724	0.03290425224182818	0.02212190044433485	0.08518709958885985	0.0375017190115565	0.046871517519691576	0.08174018503677499	0.0018091114725645755	0.05243400181148252	0.022144425423351054	0.1931991160724024	0.025468045353452488	0.05068713041251535	0.046801571532220206	0.003171872703044903	0.16724026328143896	0.02413077291501681	0.00938995243672852
(14) DSS [stool]	0.004177219353353288	0.018386343452948723	0.4934052560602572	0.006907213103970003	0.004243002335295859	0.01101864947538072	0.011742262276749005	0.0027299937506167155	0.0040785448804394305	0.21145939545439596	0.0019077064763345722	0.004210110844324573	0.011808045258691576	0.008354438706706576	0.009308291944873861	0.016281288030786434	0.0007565042923395718	0.17373285531033122	0.00361806400684143	0.0018748149853632864
(15) DSS donor (7d wo DSS) [stool]	0.00016430275225295604	0.0005450929615167848	0.6474752407296244	0.00783703570635635	0.007394098257789911	0.01250392966640374	0.008654121674490155	0.00612158213904156	0.011977812961162562	0.0004483140545111938	0.021178767087328097	0.008540896678712372	0.08436764472399984	0.006166808883165088	0.008471317072368484	0.015001837534149354	0.003066721149606907	0.13783625135443028	0.00555988495328362	0.006688339659806328
(16) Control [stool]	0.0	0.04252155813261969	0.07731192387749034	0.04073743681236991	0.006541778174249183	0.011002081474873625	0.014272970561998216	0.007136485280999108	0.01367826345524829	0.6140350877192983	0.007136485280999108	0.008325899494498959	0.04727921498661909	0.010704727921498661	0.014570324115373179	0.016354445435622957	0.0005947071067499256	0.05976806422836753	0.004162949747249479	0.003865596193874517
(17) GF > FMT Control [stool]	9.978211687148783e-05	0.00015793733836100526	0.08563907308535029	0.014657564456263218	0.009861289083943542	0.007686742920405244	0.016604846135822745	0.008706142737093863	0.02156288484791721	0.0014809686272475272	0.031540637414896336	0.00800200543690105	0.7340356647608588	0.00837970829646981	0.0161503171678652	0.014075400081141838	0.0012212596512798663	0.009469812619285159	0.008055569456694025	0.0026123937653317443
(18) GF > FMT Control [stool]	0.000237235426459633	0.00084919074699645	0.2784650755828333	0.09121160428682548	0.02206513625532659	0.026949197247620734	0.11194635415849419	0.02182603283338302	0.05324721126954204	0.04611072132272013	0.12649467658646987	0.01625006631383968	0.0025113331286010284	0.068462781684379	0.027611588446223773	0.028568375733094828	0.00468829506557785	0.01675218349992117	0.05161383601839004	0.004139104393301219
