	s__Enterococcus faecalis	s__Cutibacterium acnes	s__Akkermansia muciniphila	s__COE1 sp000403215	s__Kineothrix sp000403275	s__Schaedlerella sp000403295	s__14-2 sp000403315	s__Anaerotruncus sp000403395	s__Dysosmobacter sp000403435	s__Staphylococcus xylosus	s__Staphylococcus aureus	s__Acutalibacter muris	s__Choladousia sp003612585	s__CAG-485 sp002493045	s__Clostridium_Q sp009911305	s__1XD42-69 sp009911505	s__CAG-95 sp009917455	s__Avispirillum sp011957885	s__Acetatifactor sp011959105	s__Merdisoma sp011959465	s__CAG-317 sp011960265
(1) DSS [skin]	0.0023743673240295754	0.007861040498943112	0.6262874348308858	0.008139242761542443	0.008327708402064279	0.11332779926273591	0.007861040498943112	0.007317937226703745	0.02427609804184949	0.02914173384267765	5.545311092889019e-05	0.1128645035082523	0.003743647012473016	0.0016753958480981925	0.004055570761448023	0.005802156414117088	0.016259376680805338	0.0011673254533713336	0.010069797856549921	0.005786419720475106	0.00360595094310567
(2) DSS [skin]	0.0017848150996851466	0.00794852782496583	0.6636928048517311	0.007258229627211306	0.009025891024186721	0.10277059966024601	0.007251589484226894	0.0065671014115837294	0.020089752599339306	0.023792462331022196	0.000263115665757336	0.10461877279090744	0.0041132919062190475	0.0016539489483673548	0.0037502974230711767	0.005516575456924839	0.014993166186178542	0.0011971624455646612	0.005813998528101639	0.004901808885618004	0.002996087849091684
(3) DSS [skin]	0.0015714480117672246	0.014467202848542055	0.5290960576850569	0.009224997898090772	0.013971412300979534	0.18674575045960304	0.008933764289732369	0.008408503674657388	0.022852303822527786	0.03383423780437596	0.00010747906975131596	0.11543945504644569	0.0038631791442065746	0.0013859599397770502	0.0051806645153517385	0.0070147428346564525	0.01901252737899287	0.0014275647409711081	0.0077800978232888075	0.006193048011073812	0.0034896027001515974
(4) Vancomycin [skin]	0.20937533598537791	0.5819374260832169	0.07498118481883669	0.010450489194710246	0.0019137727126115472	0.017740027953983443	0.023459843027631436	0.0025803677023975916	0.0033759810773035157	0.005268250725728416	0.028039995699387164	0.013955488657133641	0.0015697236856252017	6.45091925599398e-05	0.0023653370605311256	0.002515858509837652	0.011955703687775508	2.1503064186646596e-05	0.006493925384367273	0.0011611654660789162	0.0007741103107192775
(5) Vancomycin [skin]	0.026892015652318708	0.9707767879443843	0.00166514028806927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000333028057613854	0.0	0.0	0.0	0.0	0.0	0.000333028057613854	0.0	0.0	0.0	0.0
(6) Vancomycin [skin]	0.018537414965986394	0.889795918367347	0.033503401360544215	0.006462585034013605	0.0	0.007426303854875284	0.0	0.0	0.002891156462585034	0.0008503401360544217	0.006065759637188209	0.0031179138321995466	0.0	0.0	0.0	0.0003401360544217687	0.02947845804988662	0.0	5.668934240362812e-05	0.0014739229024943311	0.0
(7) Control [stool]	0.029538721963605585	0.4193821413457469	0.38882776132035546	0.0009310198899703766	0.00347016504443504	0.019805332204824375	0.00042319085907744394	0.0014388489208633094	0.007871349978840456	0.00042319085907744394	0.09174777824798984	0.022090562843842573	0.002031316123571731	0.0008463817181548879	0.0010156580617858655	0.0019466779517562421	0.004993652137113838	8.463817181548878e-05	0.0005078290308929327	0.0022005924672027083	0.00042319085907744394
(8) Vancomycin [stool]	0.9874325499813346	0.011202820710214537	8.037738073336322e-05	3.929560835853313e-05	2.5006296228157446e-05	3.0364788277048327e-05	1.0716984097781763e-05	2.1433968195563527e-05	1.4289312130375684e-05	6.787423261928449e-05	0.0009538115847025769	1.9647804179266564e-05	1.7861640162969605e-06	3.572328032593921e-06	1.2503148114078723e-05	2.1433968195563527e-05	2.3220132211860486e-05	3.572328032593921e-06	1.7861640162969605e-05	1.4289312130375684e-05	3.572328032593921e-06
(9) Vancomycin [stool]	0.9972425227586866	0.0024718828433761917	6.945786502048803e-06	0.0	1.225727029773318e-06	0.0	8.17151353182212e-07	4.08575676591106e-07	0.0	1.4708724357279818e-05	0.0002492311627205747	8.17151353182212e-07	2.8600297361377424e-06	0.0	0.0	1.225727029773318e-06	1.634302706364424e-06	0.0	3.268605412728848e-06	0.0	2.451454059546636e-06
(10) DSS [stool]	0.001871294206697411	0.017822850815099312	0.19698350177317392	0.05386103362722698	0.01907038028623092	0.07255294991659775	0.06489956686898136	0.02302322647565916	0.03155268359008144	5.6068740275577856e-05	0.004702765590614093	0.02301621788312471	0.031209262555893527	0.002992669012208968	0.06257972274007934	0.06843189750634278	0.04510730155170239	0.005291487363507661	0.20502235741018487	0.0221541610013877	0.04779860108493012
(11) IMQ [stool]	0.00017094382358597406	0.000259517538629513	0.032997327624177245	0.09029108010992791	0.013555224849717632	0.014588814621762666	0.09141393288662772	0.01641956782919955	0.045239800409300174	0.0009653501005328898	0.0012396873658039288	0.005579110113326105	0.016191757612686788	0.5625916324376934	0.016686667553552633	0.031572565997757054	0.02307500367046718	0.0018841731523075004	0.01736044814853364	0.013456311790505587	0.004461082363904936
(12) Control [stool]	0.0003358423284852825	0.0007685622517259349	0.29946358068470663	0.1035803133425071	0.03173185250547661	0.025622105529571282	0.07149122470637007	0.061096662445763686	0.0690745323738684	3.592544138844969e-05	0.0009239700599793408	0.03368958723282471	0.040860951184590974	0.006015291321018846	0.05159983256322373	0.05416264860114808	0.060467765393143406	0.012660287007947595	0.03627621901279309	0.028352439075093456	0.011790406938373337
(13) DSS donor (7d wo DSS) [stool]	0.0003354344969011067	0.00046580294632695703	0.11474960449031221	0.039117581770967295	0.02629919206796072	0.1012730302912854	0.04458319092635592	0.0557222940618933	0.09717523281338637	6.83553491584188e-05	0.002082371719207501	0.062335145572229404	0.02632597045216711	0.2296810201154994	0.030277191511252206	0.060258411407591674	0.05563914013198925	0.0037708193128525675	0.009989746697626237	0.028687401122578053	0.01116306274245889
(14) DSS [stool]	0.0050352866545079695	0.022163190865117754	0.5947585441281421	0.008326064546824202	0.005114582507334866	0.013282055348505272	0.014154309729601142	0.0032907778923162317	0.004916342875267624	0.001308381571643803	0.2535881373404171	0.0022995797319800173	0.0050749345809214174	0.01423360558242804	0.010070573309015939	0.011220363175005948	0.019625723574657045	0.0009119023075093173	0.004004440567758306	0.004361271905479343	0.002259931805566569
(15) DSS donor (7d wo DSS) [stool]	0.00018357636441056793	0.0006090353494930006	0.7234276304514141	0.008756362891071545	0.008261466455350659	0.013970709057081825	0.009669297515623426	0.006839677230700188	0.013382875982592933	6.3606825012323825e-06	0.0004945430644708177	0.023663152389584736	0.009542790608098916	0.09426443124013874	0.006890209319459978	0.009465048933083853	0.016761635190122567	0.0034264643262888776	0.03669972454711057	0.006212089890578592	0.007472918510822878
