genome_id	covered	length	percent_covered
G000005825	10022	4249288	0.23585127673153716
G000006605	24421	2476842	0.9859732675721745
G000006785	13174	1852433	0.7111728197457075
G000006845	51010	2153922	2.3682380327607033
G000006865	33035	2365589	1.3964809609784286
G000006925	58026	4828840	1.201655055872632
G000007085	605	2689445	0.022495347553119695
G000007105	2490	2056363	0.1210875706283375
G000007145	50143	5076188	0.9878081741653383
G000007265	19948	2160267	0.9234043754776609
G000007325	6972	2174500	0.32062543113359393
G000007385	909	4941439	0.018395451203586648
G000007465	8900	2032925	0.4377928354464626
G000007485	155	927303	0.01671514057433223
G000007525	20372	2260286	0.9013018706482276
G000007565	6151	6181873	0.09950058825213652
G000007625	6549	2873353	0.22792187385260354
G000007645	233017	2564735	9.08542208064381
G000007705	2704	4751080	0.05691337548515285
G000007745	1057	2314078	0.04567693915243998
G000007785	2605369	3360034	77.53995941707733
G000007805	6337	6538300	0.0969212180536225
G000007825	20796	5427103	0.3831878628432149
G000007845	16417	5227293	0.3140631298073401
G000007865	248	4829781	0.0051348083898628116
G000007905	173	1799146	0.009615673213847013
G000007925	214	1751080	0.012221029307627293
G000007945	4575	1698955	0.2692831770117513
G000007985	741	3814128	0.019427769597664263
G000008025	215	1267782	0.01695875158347413
G000008165	18296	5228663	0.3499173689335113
G000008185	433	2843201	0.015229313720697201
G000008345	2511199	2560265	98.08355775671659
G000008505	20528	5314814	0.38624117419725323
G000008565	306	3284216	0.00931729216348742
G000008765	10817	4132900	0.26172905223934767
G000008805	69440	2272360	3.055853825978278
G000008865	58689	5594645	1.049020983458289
G000008925	11408	2134037	0.5345736742146457
G000009065	606	4829915	0.01254680465391213
G000009125	10599	5810942	0.18239727741216483
G000009205	84048	4298153	1.9554445828242968
G000009345	780	4683640	0.01665371377817253
G000009545	11278	1852352	0.6088475624503333
G000009705	151	7211909	0.0020937590865331215
G000009725	379	3947099	0.00960198870106881
G000009745	372	5260126	0.007072073938913251
G000009825	18815	4303871	0.437164589737936
G000009845	150	853092	0.01758309771982389
G000009865	66622	2697921	2.4693829063193475
G000009905	1721	3566135	0.04825953027577475
G000009925	22306	5311010	0.41999544342789785
G000009985	151	4967148	0.0030399738441455743
G000010065	476	2696255	0.01765411654313112
G000010085	848	4292562	0.019755101964747394
G000010125	97132	2577939	3.767816073227489
G000010145	9537	2098685	0.45442741526241437
G000010165	8952	6296436	0.14217566890221706
G000010185	2649	1986760	0.13333266222392237
G000010285	4139	2697540	0.15343609362604446
G000010345	151	2562277	0.005893195778598489
G000010425	8512	2089645	0.4073419169284735
G000010505	3727	2354886	0.15826668467178454
G000010525	151	5369772	0.002812037457083839
G000010565	923	3025375	0.030508614634549437
G000010585	20213	2219897	0.9105377411654686
G000010605	317	8545929	0.0037093685192095558
